,Country,Population,Yearly Change,Density (P/Km²),Land Area (Km²),Med. Age,Urban Pop %,Code
1,Germany,83294633,-0.09,239,348560,45,77,DE
2,United Kingdom,67736802,0.34,280,241930,40,85,UK
3,France,64756584,0.20,118,547557,42,84,FR
4,Italy,58870762,-0.28,200,294140,48,72,IT
5,Spain,47519628,-0.08,95,498800,45,80,ES
7,Poland,41026067,2.93,134,306230,40,55,PL
8,Romania,19892812,1.19,86,230170,41,53,RO
9,Netherlands,17618299,0.31,522,33720,42,92,NL
10,Belgium,11686140,0.26,386,30280,41,99,BE
11,Greece,10341277,-0.42,80,128900,45,86,EL
12,Czechia,10495295,0.01,136,77240,43,75,CZ
13,Portugal,10247605,-0.23,112,91590,46,67,PT
14,Sweden,10612086,0.59,26,410340,40,86,SE
15,Hungary,10156239,1.90,112,90530,42,68,HU
17,Austria,8958960,0.22,109,82409,43,59,AT
18,Switzerland,8796669,0.64,223,39516,42,75,CH
19,Serbia,7149077,-1.00,82,87460,43,69,RS
20,Bulgaria,6687717,-1.39,62,108560,45,78,BG
21,Denmark,5910913,0.49,139,42430,41,88,DK
22,Finland,5545475,0.09,18,303890,43,87,FI
23,Slovakia,5795199,2.69,121,48088,40,51,SK
24,Norway,5474360,0.74,15,365268,40,86,NO
25,Ireland,5056935,0.67,73,68890,38,64,IE
26,Croatia,4008617,-0.54,72,55960,44,59,HR
27,Bosnia and Herzegovina,3210847,-0.70,63,51000,42,54,BA
29,Albania,2832439,-0.35,103,27400,38,67,AL
30,Lithuania,2718352,-1.15,43,62674,44,71,LT
31,North Macedonia,2085679,-0.38,83,25220,39,60,MK
32,Slovenia,2119675,-0.01,105,20140,44,55,SI
33,Latvia,1830211,-1.10,29,62200,44,69,LV
34,Estonia,1322765,-0.25,31,42390,42,68,EE
35,Montenegro,626485,-0.10,47,13450,39,69,ME
36,Luxembourg,654768,1.11,253,2590,39,88,LU
37,Malta,535064,0.33,1672,320,40,78,MT
38,Iceland,375318,0.65,4,100250,36,88,IS
42,Liechtenstein,39584,0.65,247,160,44,15,LI
48,Turkey,85903600,null,112,769630,31.8,77.1,TR
49,Cyprus,920701,null,136,9213,38.5,65.5,CY
50,Kosovo,1761985,null,166,10887,31.5,50,XK
